customer_id,first_name,last_name,email,phone_number,gender,dob,age,city,state,country,signup_date,is_active,customer_tier
1,Adrian,Croneen,acroneen0@g.co,926-436-3488,Other,2024-05-05,85,Paulista,Unknown,Brazil,2024-07-04,False,Silver
2,Bree,O'Toole,botoole1@mlb.com,504-436-6069,Female,2024-01-31,19,Uttaradit,Unknown,Thailand,2023-12-31,False,Silver
3,Phebe,Brushfield,pbrushfield2@europa.eu,415-489-3143,Other,2024-02-29,43,Cerro Colorado,Unknown,Uruguay,2024-09-10,False,Bronze
4,Mic,Moncreiff,mmoncreiff3@delicious.com,803-251-7486,Male,2023-12-08,27,Mangkon Daja,Unknown,Indonesia,2024-03-03,False,Silver
5,Dru,Eacott,deacott4@buzzfeed.com,575-158-2952,Other,2024-10-23,37,Aygezard,Unknown,Armenia,2024-02-10,True,Gold
6,Lyle,Durran,ldurran5@home.pl,687-946-5191,Male,2024-10-11,53,Haolibao,Unknown,China,2024-02-04,False,Silver
7,Regan,Austins,raustins6@chronoengine.com,232-894-9107,Male,2024-02-07,26,San Antonio,Mexico,Mexico,2023-12-11,True,Gold
8,Lou,Weightman,lweightman7@multiply.com,663-734-9156,Male,2024-06-20,59,Malilipot,Unknown,Philippines,2024-02-04,False,Bronze
9,Arlin,Wollaston,awollaston8@google.com.hk,891-470-5549,Female,2024-05-12,23,Zhenping Chengguanzhen,Unknown,China,2024-01-12,True,Silver
10,Barbette,Coalbran,bcoalbran9@furl.net,947-852-5274,Other,2024-11-15,63,Cabodiongan,Unknown,Philippines,2024-09-22,False,Bronze
11,Marty,Slorance,mslorancea@miibeian.gov.cn,864-143-4398,Male,2024-11-21,28,Skövde,Västra Götaland,Sweden,2024-03-02,False,Bronze
12,Eleonora,Utting,euttingb@cdbaby.com,458-370-5803,Other,2024-06-14,52,Pravdinsk,Unknown,Russia,2024-04-05,False,Gold
13,Rubina,True,rtruec@indiegogo.com,490-741-1812,Female,2024-09-30,72,Villach,Kaernten,Austria,2024-02-11,True,Bronze
14,Breena,Klimus,bklimusd@springer.com,228-390-7113,Other,2024-09-12,40,Paris 07,Île-de-France,France,2024-03-30,False,Silver
15,Kora,Womack,kwomacke@bloomberg.com,722-433-5096,Male,2024-10-02,83,Öldziyt,Unknown,Mongolia,2023-12-09,False,Gold
16,Emily,Rosindill,erosindillf@friendfeed.com,338-592-0591,Male,2024-02-12,99,Mocun,Unknown,China,2023-12-23,True,Silver
