customer_id,first_name,last_name,email,phone_number,gender,dob,age,city,state,country,signup_date,is_active,customer_tier
1,Adrian,Croneen,acroneen0@g.co,926-436-3488,Other,5/5/2024,85,Paulista,,Brazil,7/4/2024,false,Silver
2,Bree,O'Toole,botoole1@mlb.com,504-436-6069,Female,1/31/2024,19,Uttaradit,,Thailand,12/31/2023,false,Silver
3,Phebe,Brushfield,pbrushfield2@europa.eu,415-489-3143,Other,2/29/2024,43,Cerro Colorado,,Uruguay,9/10/2024,false,Bronze
4,Mic,Moncreiff,mmoncreiff3@delicious.com,803-251-7486,Male,12/8/2023,27,Mangkon Daja,,Indonesia,3/3/2024,false,Silver
5,Dru,Eacott,deacott4@buzzfeed.com,575-158-2952,Other,10/23/2024,37,Aygezard,,Armenia,2/10/2024,true,Gold
6,Lyle,Durran,ldurran5@home.pl,687-946-5191,Male,10/11/2024,53,Haolibao,,China,2/4/2024,false,Silver
7,Regan,Austins,raustins6@chronoengine.com,232-894-9107,Male,2/7/2024,26,San Antonio,Mexico,Mexico,12/11/2023,true,Gold
8,Lou,Weightman,lweightman7@multiply.com,663-734-9156,Male,6/20/2024,59,Malilipot,,Philippines,2/4/2024,false,Bronze
9,Arlin,Wollaston,awollaston8@google.com.hk,891-470-5549,Female,5/12/2024,23,Zhenping Chengguanzhen,,China,1/12/2024,true,Silver
10,Barbette,Coalbran,bcoalbran9@furl.net,947-852-5274,Other,11/15/2024,63,Cabodiongan,,Philippines,9/22/2024,false,Bronze
11,Marty,Slorance,mslorancea@miibeian.gov.cn,864-143-4398,Male,11/21/2024,28,Skövde,Västra Götaland,Sweden,3/2/2024,false,Bronze
12,Eleonora,Utting,euttingb@cdbaby.com,458-370-5803,Other,6/14/2024,52,Pravdinsk,,Russia,4/5/2024,false,Gold
13,Rubina,True,rtruec@indiegogo.com,490-741-1812,Female,9/30/2024,72,Villach,Kaernten,Austria,2/11/2024,true,Bronze
14,Breena,Klimus,bklimusd@springer.com,228-390-7113,Other,9/12/2024,40,Paris 07,Île-de-France,France,3/30/2024,false,Silver
15,Kora,Womack,kwomacke@bloomberg.com,722-433-5096,Male,10/2/2024,83,Öldziyt,,Mongolia,12/9/2023,false,Gold
16,Emily,Rosindill,erosindillf@friendfeed.com,338-592-0591,Male,2/12/2024,99,Mocun,,China,12/23/2023,true,Silver
17,Montague,Geale,mgealeg@wordpress.org,585-496-1826,Other,11/25/2024,98,Phak Hai,,Thailand,5/22/2024,true,Bronze
18,Nathanael,Raeburn,nraeburnh@shop-pro.jp,556-831-1646,Female,11/5/2024,29,Zbůch,,Czech Republic,9/8/2024,true,Gold
19,Gillan,Chuney,gchuneyi@blogs.com,248-866-6782,Female,2/7/2024,23,Madrid,Madrid,Spain,9/5/2024,false,Bronze
20,Gisella,Chatel,gchatelj@ameblo.jp,423-703-4716,Male,10/5/2024,93,Valença do Piauí,,Brazil,8/14/2024,false,Bronze
21,Emelen,Febre,efebrek@mysql.com,465-255-1316,Female,1/21/2024,68,Shahrak-e Bākharz,,Iran,10/2/2024,false,Silver
22,Job,Verrico,jverricol@disqus.com,843-442-6335,Male,3/11/2024,34,Bajo Pichanaqui,,Peru,4/3/2024,false,Gold
23,Daryl,Higgoe,dhiggoem@soup.io,964-746-3350,Male,8/10/2024,78,Cacoal,,Brazil,4/10/2024,false,Silver
24,Gracie,Sweetenham,gsweetenhamn@1und1.de,154-526-2712,Other,10/31/2024,33,Koatas Lao,,Indonesia,10/16/2024,true,Gold
25,Addie,Steane,asteaneo@cnbc.com,963-603-3801,Other,7/1/2024,90,Weihai,,China,12/13/2023,true,Gold
26,Spenser,Ryman,srymanp@pinterest.com,399-437-5949,Male,5/15/2024,94,Cangyou,,China,7/8/2024,false,Bronze
27,Beale,Mc Ilory,bmciloryq@npr.org,310-966-3362,Male,1/15/2024,31,Nusajaya,,Indonesia,7/25/2024,true,Silver
28,Cahra,Hydes,chydesr@instagram.com,448-499-4513,Other,4/25/2024,24,Verkhniy Landekh,,Russia,5/29/2024,true,Bronze
29,Gabriel,Tender,gtenders@gizmodo.com,411-517-3371,Female,6/15/2024,92,Prámanta,,Greece,3/23/2024,false,Bronze
30,Bastien,Elsegood,belsegoodt@cdc.gov,560-686-0603,Female,8/9/2024,47,Ishurdi,,Bangladesh,4/11/2024,false,Gold
31,Constantia,Snipe,csnipeu@bbc.co.uk,413-839-4463,Other,5/18/2024,64,Bassila,,Benin,5/30/2024,true,Silver
32,Brian,Stedell,bstedellv@netscape.com,599-838-0601,Female,5/21/2024,27,Valdice,,Czech Republic,12/10/2023,true,Gold
33,Justinn,Dick,jdickw@ebay.com,656-400-1810,Female,11/3/2024,19,Yantongtun,,China,4/23/2024,true,Silver
34,Cam,Chester,cchesterx@un.org,149-808-8836,Female,4/21/2024,18,Jieshui,,China,6/20/2024,true,Bronze
35,Cortie,Martschik,cmartschiky@abc.net.au,391-291-9213,Other,5/27/2024,36,Nunguan,,Philippines,1/14/2024,false,Gold
36,Waylon,Playden,wplaydenz@ibm.com,241-561-3789,Male,12/6/2024,23,Santana do Paraíso,,Brazil,6/7/2024,true,Bronze
37,Lenee,Chastanet,lchastanet10@gizmodo.com,637-823-7748,Female,2/5/2024,71,Coaticook,Québec,Canada,4/12/2024,false,Gold
38,Yehudit,Avon,yavon11@rediff.com,375-686-0892,Female,5/23/2024,67,Ocuviri,,Peru,3/6/2024,true,Silver
39,Kort,Kermath,kkermath12@discovery.com,128-903-5527,Male,10/24/2024,36,Małkinia Górna,,Poland,3/8/2024,false,Silver
40,Teirtza,Letcher,tletcher13@feedburner.com,896-106-8338,Male,6/14/2024,80,Bërxull,,Albania,11/21/2024,true,Bronze
41,Mab,Blanchflower,mblanchflower14@parallels.com,788-392-2024,Other,4/15/2024,78,Kuybyshev,,Russia,2/28/2024,true,Bronze
42,Kile,McGooch,kmcgooch15@blogs.com,676-694-2549,Male,10/7/2024,50,Shangdu,,China,9/14/2024,true,Silver
43,Breanne,Hanson,bhanson16@theguardian.com,632-731-5777,Female,5/10/2024,89,Ambon,,Indonesia,9/4/2024,true,Bronze
44,Marlow,Boothe,mboothe17@reverbnation.com,416-861-3151,Other,5/11/2024,67,Cliza,,Bolivia,10/26/2024,true,Bronze
45,Randene,Steenson,rsteenson18@odnoklassniki.ru,831-652-5688,Female,2/23/2024,73,Armenia,,Colombia,2/27/2024,true,Bronze
46,Berti,Danaher,bdanaher19@tuttocitta.it,891-588-0176,Other,2/12/2024,34,Lijia,,China,10/18/2024,false,Silver
47,Fidole,Mussard,fmussard1a@github.io,541-130-4296,Male,1/21/2024,72,Kronoby,,Finland,3/1/2024,true,Bronze
48,Faye,Nancekivell,fnancekivell1b@bloglovin.com,238-527-8192,Female,2/29/2024,54,Cijapar,,Indonesia,10/27/2024,false,Bronze
49,Saunders,Yakubovics,syakubovics1c@theglobeandmail.com,287-308-9137,Male,7/18/2024,65,Qiaoxi,,China,7/14/2024,true,Gold
50,Noel,Jannequin,njannequin1d@imgur.com,914-911-2862,Male,12/5/2024,23,Barkā’,,Oman,6/15/2024,true,Silver
51,Yelena,Longhirst,ylonghirst1e@kickstarter.com,851-367-4240,Other,2/9/2024,28,Nîmes,Languedoc-Roussillon,France,7/24/2024,true,Bronze
52,Korella,Kinglake,kkinglake1f@vk.com,883-416-5604,Other,11/8/2024,20,Tirmiz,,Uzbekistan,1/9/2024,true,Silver
53,Lizzie,Taill,ltaill1g@google.cn,363-803-4487,Male,7/23/2024,26,Milano,Lombardia,Italy,1/22/2024,true,Gold
54,Dionis,Morales,dmorales1h@bandcamp.com,223-640-0225,Male,3/2/2024,52,Chazón,,Argentina,4/23/2024,true,Gold
55,Berton,Pesic,bpesic1i@bbb.org,131-410-2023,Female,9/25/2024,74,Si Ma Cai,,Vietnam,10/11/2024,false,Silver
56,Iorgo,Melhuish,imelhuish1j@wunderground.com,706-816-7427,Other,6/6/2024,24,Ābdānān,,Iran,4/4/2024,true,Gold
57,Geralda,Dooher,gdooher1k@state.gov,311-517-3362,Male,12/22/2023,38,Chaparral,,Colombia,6/14/2024,true,Bronze
58,Harlan,Nurse,hnurse1l@nytimes.com,651-662-2875,Other,5/16/2024,48,Nîmes,Languedoc-Roussillon,France,7/22/2024,true,Silver
59,Samantha,Barwise,sbarwise1m@usa.gov,470-534-7281,Female,6/27/2024,85,Woken,,China,10/29/2024,true,Bronze
60,Stirling,Clutton,sclutton1n@xinhuanet.com,798-942-8419,Female,6/11/2024,91,Bulakan,,Indonesia,10/15/2024,true,Silver
61,Clyve,Daymond,cdaymond1o@sourceforge.net,433-338-3354,Male,5/26/2024,41,Enjiang,,China,3/12/2024,false,Bronze
62,Alan,Woolvett,awoolvett1p@imgur.com,943-172-6045,Other,4/10/2024,52,Yanglinshi,,China,11/25/2024,false,Silver
